word_id,word,frequence
0,网红,1532
1,太古里,1152
2,西班牙铁,960
3,冰铁,711
4,喝咖啡,689
5,燕麦铁,588
6,燕麦奶,571
7,红店,527
8,薄荷环境,402
9,咖啡味道,378
10,红咖啡,359
11,杯咖啡,358
12,味道不错,355
13,服务服务,337
14,装修风格,328
15,抹茶铁,315
16,提拉米苏,302
17,星爸爸,297
18,奶味,294
19,适合拍照,279
20,西班牙咖啡,278
21,红咖啡店,256
22,咖啡味,253
23,个人觉得,238
24,综合豆,214
25,铁燕麦,209
26,西班牙冰,208
27,自带杯,208
28,很好找,197
29,杯冰,195
30,米酒铁,181
31,性价比高,175
32,杯西班牙,173
33,喜欢喝,170
34,喝起来,168
35,环境不错,160
36,一家店,159
37,老小区,157
38,咖啡冷,155
39,桂花铁,152
40,脏咖啡,147
41,奶泡,147
42,想喝,145
43,丝滑,142
44,偏甜,139
45,自带杯子,139
46,不用排队,136
47,成都开,135
48,小区里面,134
49,喝口,134
50,打卡网,133
51,太甜,132
52,脏脏,132
53,热铁,132
54,杯铁,129
55,喝杯,129
56,特调,129
57,冰美式,128
58,熔岩铁,123
59,单品豆,123
60,买杯,122
61,哥哥姐姐,122
62,刚开业,122
63,加炼乳,121
64,小区里,120
65,新开,120
66,太喜欢,119
67,推荐西班牙,119
68,成都太古,119
69,口感不错,117
70,瓦当瓦舍,115
71,抹茶巧克力,114
72,朋友说,114
73,比较喜欢,113
74,气泡水,112
75,真的太,111
76,没有排队,110
77,探店,109
78,一家咖啡店,105
79,买了杯,105
80,大众点评,104
81,偏贵,102
82,有点贵,102
83,咖啡口感,102
84,服务很好,102
85,打卡拍照,100
86,带杯子,100
87,冰燕麦,100
88,位置很好,99
89,拍照好看,99
90,做咖啡,98
91,咖啡好喝,98
92,红打卡,97
93,姐姐拍照,96
94,性价比很高,95
95,拍照打卡,95
96,很好喝,95
97,咖啡铁,94
98,老板韩国,94
99,成都店,93
100,开到成都,93
101,明治牛奶,92
102,店装修,92
103,咖啡爱好者,92
104,铁好喝,92
105,杯热,91
106,奶咖,90
107,喜欢咖啡,90
108,店面不大,89
109,没有特别,88
110,极简,88
111,没有惊艳,88
112,美式咖啡,87
113,疫情期间,87
114,冰咖啡,86
115,想象中,85
116,味道真的,85
117,招牌西班牙,84
118,咖啡喝,83
119,味道没有,83
120,店里面,83
121,比较少,82
122,终于成都,81
123,杯减,81
124,饼干布朗尼,79
125,巷子里,79
126,态度很好,79
127,个人喜欢,78
128,奈雪茶,78
129,开一家,78
130,奶香,77
131,杯子减,77
132,味道比较,77
133,没有想象,77
134,只能说,77
135,一家网,76
136,真的好喝,76
137,味比较,76
138,咖啡真的,75
139,环境环境,74
140,位置太古,73
141,终于打卡,73
142,环境很好,73
143,咖啡不错,73
144,杯免费,72
145,铁西班牙,72
146,感觉不错,71
147,抹茶味,70
148,杯燕麦,70
149,开店,70
150,本来想,70
151,铁味道,70
152,请回答,70
153,味道浓郁,70
154,铁口感,69
155,冰西班牙,69
156,需要排队,69
157,服务态度很好,69
158,挺好喝,69
159,确实不错,69
160,特别喜欢,68
161,跟着导航,68
162,知道是不是,68
163,好喝咖啡,68
164,丢丢,67
165,铁真的,67
166,很顺滑,67
167,真的不错,66
168,更好喝,66
169,喜茶,66
170,奶盖,65
171,颜值很高,65
172,买咖啡,65
173,换燕麦,64
174,服务不错,64
175,位置比较,64
176,黑糖脏,64
177,喝冰,64
178,有点偏,64
179,杯型,64
180,拿到咖啡,64
181,杯美式,64
182,咖啡香味,63
183,不会再,63
184,朋友推荐,63
185,略贵,63
186,之前上海,63
187,中杯,62
188,星巴克好喝,62
189,咖啡价格,62
190,黑松露,61
191,再喝,61
192,没喝,61
193,喝西班牙,61
194,体验感,60
195,店员说,60
196,漂亮姐姐,59
197,味道还行,59
198,比较淡,59
199,咖啡没有,59
200,最好喝,59
201,有点甜,59
202,西班牙燕麦,59
203,打包带走,58
204,店面装修,58
205,踩雷,58
206,没排队,58
207,换成燕麦,58
208,应该不会,57
209,价格有点,57
210,觉得不错,57
211,喝铁,56
212,服务姐姐,56
213,味道很好,56
214,隐盐,56
215,价格便宜,55
216,奶铁,55
217,价格偏,55
218,偏苦,54
219,工业风,54
220,值得推荐,54
221,堂食,54
222,喜欢味道,54
223,味浓郁,54
224,冰拿铁咖啡,53
225,简约风,53
226,里店,53
227,比较重,53
228,铁冰,53
229,外摆,53
230,觉得有点,53
231,排小时,52
232,桂花燕麦,52
233,店员推荐,52
234,找不到,52
235,杯价格,52
236,没喝过,52
237,排队,51
238,挺喜欢,51
239,觉得味道,51
240,口感比较,51
241,便利屋,51
242,稍微有点,51
243,杯白,51
244,拿到手,50
245,成都咖啡,50
246,挺好看,50
247,应该会,50
248,杯抹茶,50
249,排很久,50
250,成都咖啡店,50
251,有点失望,50
252,完全没有,50
253,朋友喝,50
254,里面,50
255,米酒特,49
256,秒杀星,49
257,有点腻,49
258,非常喜欢,49
259,咖啡口味,49
260,普通铁,49
261,太适合,49
262,喜欢甜,49
263,口下去,49
264,比较偏,49
265,喝美式,48
266,整体装修,48
267,免费喝,48
268,店环境,47
269,不好喝,47
270,适合朋友,47
271,铁喝,47
272,不太好找,47
273,会再来,47
274,咖啡品质,47
275,咖啡便利,47
276,独立咖啡店,46
277,颜值高,46
278,太好喝,46
279,没必要,46
280,咖啡奶,46
281,环境真的,46
282,喝下午茶,46
283,店员姐姐,45
284,取咖啡,45
285,环境店,45
286,速度很快,45
287,拍拍拍,45
288,性冷淡风,45
289,风格喜欢,45
290,店铺装修,45
291,咖啡杯,45
292,朋友一起,45
293,价格确实,45
294,南瓜蛋糕,45
295,推荐冰,45
296,再试试,45
297,之前香港,44
298,孜然肉酱,44
299,会更,44
300,店打卡,44
301,晶融汇,44
302,不好找,44
303,想象中的,44
304,店位置,44
305,口感很好,44
306,姐姐说,44
307,喝热,44
308,排队小时,44
309,爱喝,44
310,开咖啡店,43
311,觉得咖啡,43
312,味重,43
313,豆奶铁,43
314,博士茶,43
315,铁抹茶,43
316,喜欢风格,43
317,值得试,43
318,成都探,43
319,韩国老板,43
320,拍照姐姐,43
321,杯子免费,42
322,极简风,42
323,市医院,42
324,整体感觉,42
325,不错选择,42
326,开在太古,42
327,咖啡品牌,42
328,排队时间,42
329,喝杯咖啡,42
330,价格小贵,42
331,坐下来,42
332,偏淡,42
333,爱马仕背后,42
334,味道中规中矩,41
335,奶咖啡,41
336,十分钟,41
337,肉酱薄饼,41
338,口味不错,41
339,真的非常,41
340,会有点,41
341,开业前,41
342,送杯,41
343,脆脆,41
344,特别适合,41
345,非常棒,41
346,价格略,41
347,会再,41
348,排队排,41
349,店里装修,40
350,瓦舍酒店,40
351,逛太古,40
352,环境比较,40
353,环境装修,40
354,铁咖啡,40
355,不要太,40
356,种草很久,40
357,手咖啡,40
358,牛奶明治,40
359,说咖啡,39
360,扫码,39
361,整体风格,39
362,牛奶咖啡,39
363,爱爱,39
364,韩国街头,39
365,真的很好,39
366,吃起来,39
367,韩国欧巴,39
368,味道确实,39
369,咖啡比较,39
370,排队买,39
371,简约风格,39
372,装修简约,39
373,里里面,39
374,没有喝,39
375,过来打卡,39
376,意式,39
377,朋友杯,39
378,会觉得,39
379,口感非常,38
380,拼配豆,38
381,咖啡朋友,38
382,真的爱,38
383,豆热,38
384,加冰,38
385,咖啡做,38
386,价格真的,38
387,一家咖啡,38
388,比较浓郁,38
389,做杯,38
390,杯杯,38
391,里面加,38
392,太懂,38
393,没有位置,38
394,口感顺滑,38
395,值得打卡,38
396,觉得好喝,38
397,味道有点,37
398,拍照片,37
399,白色为主,37
400,饮品店,37
401,特饮,37
402,小姐姐,37
403,环境太古,37
404,总体不错,37
405,成都网,37
406,非常不错,37
407,服务挺好,37
408,咖啡饮品,37
409,热西班牙,37
410,终于开到,37
411,混合豆,37
412,更适合,37
413,终于卡,37
414,打卡店,36
415,香草铁,36
416,铁杯,36
417,味道非常,36
418,大概小时,36
419,铁热,36
420,茶旁边,36
421,加燕麦,36
422,星巴克贵,36
423,装修简单,36
424,杯量,36
425,想试试,36
426,懂咖啡,35
427,微苦,35
428,日本京都,35
429,位置有点,35
430,环境非常,35
431,慢煮鸡胸肉,35
432,设计感,35
433,王桥南街,35
434,会比较,35
435,店真的,35
436,喝到后面,35
437,卖咖啡,35
438,挺好找,35
439,较场坝中街,35
440,经常喝,35
441,喝燕麦,35
442,一直没有,35
443,上海喝过,35
444,奶香味,35
445,风格简约,34
446,店里哥哥,34
447,感觉有点,34
448,喜欢拍照,34
449,比较快,34
450,口味比较,34
451,里附近,34
452,挺高,34
453,拍好看,34
454,奶味道,34
455,装修简洁,34
456,环境位置,34
457,特别惊艳,34
458,盆友,33
459,喝不出,33
460,鱼饼好吃,33
461,酒店一楼,33
462,终于喝到,33
463,杯饮品,33
464,一直想,33
465,拉花,33
466,味很重,33
467,爱马仕后面,33
468,铁朋友,33
469,说好喝,33
470,确实有点,33
471,里网,33
472,终于开业,33
473,蛮喜欢,33
474,地中海慢煮,33
475,想尝试,32
476,味很浓,32
477,微甜,32
478,价格不贵,32
479,口感细腻,32
480,没毛病,32
481,咖啡牛奶,32
482,服务店员,32
483,热美式,32
484,比较适合,32
485,咖啡会,32
486,没觉得,32
487,感觉没有,32
488,不会太,32
489,比较找,32
490,咖啡成都,32
491,生巧,32
492,环境服务,32
493,姐姐态度,32
494,姐姐热情,32
495,比较高,32
496,豆单品,32
497,趁热吃,32
498,简风格,32
499,深烘,31
500,打卡成都,31
501,适合打卡,31
502,味道醇厚,31
503,推荐燕麦,31
504,感觉咖啡,31
505,不会腻,31
506,泰式铁,31
507,爸爸贵,31
508,有点苦,31
509,桂花味,31
510,抹茶味道,31
511,觉得性价比,31
512,想吃,31
513,爸爸好喝,31
514,写字楼一楼,31
515,成都喝,31
516,熔岩博士,31
517,服务员态度,31
518,里爱马仕,31
519,个人口味,31
520,咖啡加,30
521,没找到,30
522,铁美式,30
523,想说,30
524,环境舒服,30
525,成都首家,30
526,终于拔草,30
527,口感醇厚,30
528,打卡咖啡,30
529,没有觉得,30
530,服务哥哥,30
531,感觉味道,30
532,很久队,30
533,巧脏,30
534,有点淡,30
535,店面很小,30
536,喝不来,30
537,真的喝,30
538,整体环境,30
539,不算特别,30
540,成都终于,30
541,咖啡太,30
542,室内座位,30
543,钯街,30
544,人气旺,30
545,纱帽街,30
546,蛮不错,30
547,价格比较,30
548,非常好喝,30
549,总体感觉,30
550,整体不错,29
551,咖啡很香,29
552,铁觉得,29
553,真的有点,29
554,精品咖啡,29
555,排队大概,29
556,排队拍照,29
557,店里姐姐,29
558,性价比真的,29
559,听朋友,29
560,店风格,29
561,没有咖啡,29
